,Year,City,Type of structure,Type of unit,Rent Price
114075,2020,North Bay,Row and apartment structures of three units and over,Three bedroom units,1135.0
114078,2020,North Bay,Row structures of three units and over,Two bedroom units,1006.0
114079,2020,North Bay,Row structures of three units and over,Three bedroom units,1104.0
114080,2020,North Bay,Apartment structures of three units and over,Bachelor units,638.0
114081,2020,North Bay,Apartment structures of three units and over,One bedroom units,833.0
114082,2020,North Bay,Apartment structures of three units and over,Two bedroom units,1032.0
114083,2020,North Bay,Apartment structures of three units and over,Three bedroom units,1183.0
114084,2020,North Bay,Apartment structures of six units and over,Bachelor units,640.0
114085,2020,North Bay,Apartment structures of six units and over,One bedroom units,857.0
114086,2020,North Bay,Apartment structures of six units and over,Two bedroom units,1043.0
114087,2020,North Bay,Apartment structures of six units and over,Three bedroom units,1096.0
114088,2020,North Grenville,Row and apartment structures of three units and over,Bachelor units,0.0
114089,2020,North Grenville,Row and apartment structures of three units and over,One bedroom units,0.0
114090,2020,North Grenville,Row and apartment structures of three units and over,Two bedroom units,0.0
114091,2020,North Grenville,Row and apartment structures of three units and over,Three bedroom units,0.0
114092,2020,North Grenville,Row structures of three units and over,Bachelor units,0.0
114093,2020,North Grenville,Row structures of three units and over,One bedroom units,0.0
114094,2020,North Grenville,Row structures of three units and over,Two bedroom units,0.0
114095,2020,North Grenville,Row structures of three units and over,Three bedroom units,0.0
114096,2020,North Grenville,Apartment structures of three units and over,Bachelor units,0.0
114097,2020,North Grenville,Apartment structures of three units and over,One bedroom units,0.0
114098,2020,North Grenville,Apartment structures of three units and over,Two bedroom units,0.0
114099,2020,North Grenville,Apartment structures of three units and over,Three bedroom units,0.0
114100,2020,North Grenville,Apartment structures of six units and over,Bachelor units,0.0
114101,2020,North Grenville,Apartment structures of six units and over,One bedroom units,0.0
114102,2020,North Grenville,Apartment structures of six units and over,Two bedroom units,0.0
114103,2020,North Grenville,Apartment structures of six units and over,Three bedroom units,0.0
114104,2020,North Perth,Row and apartment structures of three units and over,Bachelor units,697.0
114105,2020,North Perth,Row and apartment structures of three units and over,One bedroom units,788.0
114106,2020,North Perth,Row and apartment structures of three units and over,Two bedroom units,916.0
114107,2020,North Perth,Row and apartment structures of three units and over,Three bedroom units,1114.0
114112,2020,North Perth,Apartment structures of three units and over,Bachelor units,697.0
114113,2020,North Perth,Apartment structures of three units and over,One bedroom units,788.0
114114,2020,North Perth,Apartment structures of three units and over,Two bedroom units,904.0
114115,2020,North Perth,Apartment structures of three units and over,Three bedroom units,1114.0
114116,2020,North Perth,Apartment structures of six units and over,Bachelor units,697.0
114117,2020,North Perth,Apartment structures of six units and over,One bedroom units,788.0
114118,2020,North Perth,Apartment structures of six units and over,Two bedroom units,907.0
114119,2020,North Perth,Apartment structures of six units and over,Three bedroom units,1114.0
114120,2020,Orillia,Row and apartment structures of three units and over,Bachelor units,739.0
114121,2020,Orillia,Row and apartment structures of three units and over,One bedroom units,970.0
114122,2020,Orillia,Row and apartment structures of three units and over,Two bedroom units,1109.0
114123,2020,Orillia,Row and apartment structures of three units and over,Three bedroom units,1257.0
114128,2020,Orillia,Apartment structures of three units and over,Bachelor units,739.0
114129,2020,Orillia,Apartment structures of three units and over,One bedroom units,970.0
114130,2020,Orillia,Apartment structures of three units and over,Two bedroom units,1110.0
114131,2020,Orillia,Apartment structures of three units and over,Three bedroom units,1337.0
114132,2020,Orillia,Apartment structures of six units and over,Bachelor units,812.0
114133,2020,Orillia,Apartment structures of six units and over,One bedroom units,1010.0
114134,2020,Orillia,Apartment structures of six units and over,Two bedroom units,1155.0
114136,2020,Oshawa,Row and apartment structures of three units and over,Bachelor units,937.0
114137,2020,Oshawa,Row and apartment structures of three units and over,One bedroom units,1182.0
114138,2020,Oshawa,Row and apartment structures of three units and over,Two bedroom units,1354.0
114139,2020,Oshawa,Row and apartment structures of three units and over,Three bedroom units,1608.0
114143,2020,Oshawa,Row structures of three units and over,Three bedroom units,1701.0
114144,2020,Oshawa,Apartment structures of three units and over,Bachelor units,937.0
114145,2020,Oshawa,Apartment structures of three units and over,One bedroom units,1182.0
114146,2020,Oshawa,Apartment structures of three units and over,Two bedroom units,1352.0
114147,2020,Oshawa,Apartment structures of three units and over,Three bedroom units,1499.0
114148,2020,Oshawa,Apartment structures of six units and over,Bachelor units,957.0
114149,2020,Oshawa,Apartment structures of six units and over,One bedroom units,1193.0
114150,2020,Oshawa,Apartment structures of six units and over,Two bedroom units,1362.0
114151,2020,Oshawa,Apartment structures of six units and over,Three bedroom units,1517.0
114152,2020,Ottawa-Gatineau,Row and apartment structures of three units and over,Bachelor units,946.0
114153,2020,Ottawa-Gatineau,Row and apartment structures of three units and over,One bedroom units,1165.0
114154,2020,Ottawa-Gatineau,Row and apartment structures of three units and over,Two bedroom units,1315.0
114155,2020,Ottawa-Gatineau,Row and apartment structures of three units and over,Three bedroom units,1519.0
114157,2020,Ottawa-Gatineau,Row structures of three units and over,One bedroom units,1124.0
114158,2020,Ottawa-Gatineau,Row structures of three units and over,Two bedroom units,1421.0
114159,2020,Ottawa-Gatineau,Row structures of three units and over,Three bedroom units,1597.0
114160,2020,Ottawa-Gatineau,Apartment structures of three units and over,Bachelor units,945.0
114161,2020,Ottawa-Gatineau,Apartment structures of three units and over,One bedroom units,1165.0
114162,2020,Ottawa-Gatineau,Apartment structures of three units and over,Two bedroom units,1310.0
114163,2020,Ottawa-Gatineau,Apartment structures of three units and over,Three bedroom units,1451.0
114164,2020,Ottawa-Gatineau,Apartment structures of six units and over,Bachelor units,955.0
114165,2020,Ottawa-Gatineau,Apartment structures of six units and over,One bedroom units,1188.0
114166,2020,Ottawa-Gatineau,Apartment structures of six units and over,Two bedroom units,1344.0
114167,2020,Ottawa-Gatineau,Apartment structures of six units and over,Three bedroom units,1446.0
114168,2020,Ottawa-Gatineau,Row and apartment structures of three units and over,Bachelor units,1001.0
114169,2020,Ottawa-Gatineau,Row and apartment structures of three units and over,One bedroom units,1243.0
114170,2020,Ottawa-Gatineau,Row and apartment structures of three units and over,Two bedroom units,1513.0
114171,2020,Ottawa-Gatineau,Row and apartment structures of three units and over,Three bedroom units,1703.0
114173,2020,Ottawa-Gatineau,Row structures of three units and over,One bedroom units,1124.0
114174,2020,Ottawa-Gatineau,Row structures of three units and over,Two bedroom units,1452.0
114175,2020,Ottawa-Gatineau,Row structures of three units and over,Three bedroom units,1614.0
114176,2020,Ottawa-Gatineau,Apartment structures of three units and over,Bachelor units,1000.0
114177,2020,Ottawa-Gatineau,Apartment structures of three units and over,One bedroom units,1244.0
114178,2020,Ottawa-Gatineau,Apartment structures of three units and over,Two bedroom units,1517.0
114179,2020,Ottawa-Gatineau,Apartment structures of three units and over,Three bedroom units,1851.0
114180,2020,Ottawa-Gatineau,Apartment structures of six units and over,Bachelor units,1004.0
114181,2020,Ottawa-Gatineau,Apartment structures of six units and over,One bedroom units,1249.0
114182,2020,Ottawa-Gatineau,Apartment structures of six units and over,Two bedroom units,1521.0
114183,2020,Ottawa-Gatineau,Apartment structures of six units and over,Three bedroom units,1742.0
114184,2020,Owen Sound,Row and apartment structures of three units and over,Bachelor units,673.0
114185,2020,Owen Sound,Row and apartment structures of three units and over,One bedroom units,860.0
114186,2020,Owen Sound,Row and apartment structures of three units and over,Two bedroom units,1008.0
114187,2020,Owen Sound,Row and apartment structures of three units and over,Three bedroom units,1088.0
114192,2020,Owen Sound,Apartment structures of three units and over,Bachelor units,673.0
114193,2020,Owen Sound,Apartment structures of three units and over,One bedroom units,860.0
114194,2020,Owen Sound,Apartment structures of three units and over,Two bedroom units,1008.0
114195,2020,Owen Sound,Apartment structures of three units and over,Three bedroom units,1088.0
114196,2020,Owen Sound,Apartment structures of six units and over,Bachelor units,683.0
114197,2020,Owen Sound,Apartment structures of six units and over,One bedroom units,892.0
114198,2020,Owen Sound,Apartment structures of six units and over,Two bedroom units,1024.0
